,Q1A,Q2A,Q3A,Q4A,Q5A,Q6A,Q7A,Q8A,Q9A,Q10A,Q11A,Q12A,Q13A,Q14A,Q15A,Q16A,Q17A,Q18A,Q19A,Q20A,Q21A,Q22A,Q23A,Q24A,Q25A,Q26A,Q27A,Q28A,Q29A,Q30A,Q31A,Q32A,Q33A,Q34A,Q35A,Q36A,Q37A,Q38A,Q39A,Q40A,Q41A,Q42A,gender
14996,1,1,2,2,4,1,2,1,1,2,1,1,3,1,2,3,2,1,1,1,2,1,2,2,1,3,1,1,1,1,4,1,2,4,1,1,1,1,1,1,1,4,2
14997,3,2,2,2,3,2,1,3,2,1,3,2,4,2,1,2,4,2,2,1,4,2,1,1,2,4,2,2,2,1,4,1,2,4,1,2,1,4,1,2,1,2,2
14998,3,1,1,1,2,3,2,3,2,1,3,2,1,1,1,1,3,1,1,1,1,1,1,2,1,1,3,2,2,1,1,2,3,2,2,2,1,1,2,2,1,1,2
14999,3,1,1,4,2,3,2,3,2,2,3,2,2,3,2,2,3,3,1,2,2,2,1,2,4,2,3,1,2,2,1,3,3,2,2,1,1,3,4,1,2,2,2
15000,4,1,4,4,3,4,3,4,4,3,4,4,4,4,3,4,4,2,2,3,4,4,1,4,2,3,2,4,3,2,3,1,3,4,1,4,3,4,2,3,2,4,2
15001,3,3,3,3,3,4,3,3,4,4,3,3,2,3,3,3,4,2,3,3,4,2,2,3,4,3,2,4,3,3,3,3,3,4,3,3,4,4,3,3,3,3,2
15002,3,1,2,2,3,3,1,3,2,1,4,2,3,4,1,2,1,4,2,1,1,3,3,2,2,2,4,2,4,1,2,3,3,1,3,1,1,1,3,1,1,3,2
15003,1,2,3,1,3,1,1,2,2,3,2,3,3,1,1,3,2,2,1,1,2,1,1,3,1,2,2,1,1,1,3,2,2,2,2,1,2,3,2,3,1,2,1
15004,3,2,4,3,4,2,2,4,2,4,2,4,4,4,1,4,4,2,2,4,4,3,1,4,2,4,2,3,4,4,3,4,4,4,4,2,4,4,4,4,4,4,2
15005,2,2,4,1,3,1,1,2,1,1,1,2,4,1,2,3,4,2,2,2,1,1,1,4,2,3,2,1,2,1,3,1,2,4,2,2,2,2,1,1,2,2,2
15006,2,1,1,1,1,2,2,2,2,1,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,2,1,1,1,1,1,2,2,2,1,2
15007,2,1,1,2,1,2,1,3,4,1,3,3,2,4,1,1,1,1,1,2,1,4,1,2,1,1,2,3,3,2,1,4,4,1,3,2,1,1,4,3,1,2,2
15008,4,2,4,2,4,4,2,4,3,2,4,4,4,4,4,4,2,4,4,2,3,4,4,4,2,4,4,4,4,4,2,4,4,3,4,2,2,2,4,4,2,4,2
15009,2,2,3,4,2,3,4,2,4,3,1,2,4,1,1,1,4,2,4,4,3,1,2,1,3,4,2,4,1,2,2,1,4,4,1,4,3,4,1,3,4,1,2
15010,4,1,2,1,3,4,1,4,2,3,4,2,4,2,1,3,3,4,1,3,4,4,1,2,1,4,4,2,4,3,3,2,3,3,2,2,3,3,4,2,1,3,0
15011,4,4,2,3,4,3,4,4,1,3,4,4,4,2,3,4,4,4,2,3,4,4,3,4,4,3,4,4,4,3,3,4,4,4,3,4,3,4,4,2,4,3,2
15012,3,2,3,2,4,4,2,3,4,4,3,4,4,2,3,4,4,2,3,4,2,2,1,4,2,4,2,4,4,4,4,4,4,3,3,3,4,2,2,3,2,4,1
15013,4,4,4,4,4,3,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2
15014,4,2,2,3,2,3,4,4,4,2,4,4,3,4,4,1,4,3,1,3,3,4,2,1,1,2,3,4,4,4,1,4,4,4,4,4,3,4,4,3,4,2,2
15015,3,4,4,1,2,1,2,2,2,4,2,2,1,1,1,4,2,1,2,1,3,2,1,3,3,2,4,1,3,1,4,2,1,2,3,1,3,2,1,1,3,4,1
15016,3,2,4,3,4,3,1,4,3,4,3,2,4,3,3,4,4,3,2,2,4,3,2,4,2,4,4,2,4,3,4,4,2,4,3,1,4,4,3,4,1,4,2
15017,3,2,2,2,3,2,2,3,3,1,3,2,3,2,2,1,1,4,4,4,1,1,1,1,2,2,2,3,3,1,1,2,2,3,4,2,1,2,2,3,1,1,2
15018,4,2,4,4,4,2,4,4,4,4,4,3,4,4,4,4,4,2,4,4,4,3,2,4,4,4,4,2,4,4,3,4,3,4,4,2,4,4,4,4,4,4,2
15019,3,3,4,1,2,3,1,2,4,4,1,2,3,2,4,4,2,4,1,4,1,1,1,4,4,1,1,4,4,1,4,4,4,2,2,3,4,2,1,4,3,3,2
15020,4,1,3,1,4,4,1,4,1,4,4,3,4,4,1,4,3,3,4,2,4,4,1,4,2,4,4,4,4,4,3,2,3,4,4,3,3,4,3,1,1,4,2
15021,4,2,3,4,2,4,1,4,4,4,4,4,4,3,1,4,4,4,4,4,4,4,1,2,1,4,4,3,4,1,4,2,4,4,4,4,2,4,2,4,1,2,2
15022,2,1,2,1,3,2,1,2,1,1,1,2,3,1,2,2,3,1,1,1,2,2,1,2,2,2,1,1,2,3,2,2,2,2,3,1,2,2,2,2,1,3,2
15023,3,4,3,3,3,4,4,4,3,3,4,2,4,2,3,4,3,4,2,4,4,2,2,4,3,4,4,3,4,4,3,3,3,4,4,3,3,4,3,4,3,3,2
15024,3,1,2,2,1,2,1,2,4,2,3,1,2,1,2,3,2,2,4,2,2,2,1,2,3,3,2,2,4,3,2,2,3,2,3,3,2,2,2,4,2,2,1
15025,2,3,1,1,4,2,1,2,2,2,4,2,2,4,1,2,2,2,3,1,1,2,1,2,2,2,3,1,3,2,2,2,1,2,3,1,1,1,3,2,1,4,1
15026,1,1,3,2,1,2,1,2,2,4,1,1,4,2,1,2,3,2,2,2,4,2,1,2,1,3,1,2,1,1,2,2,1,4,2,1,4,4,2,1,1,2,1
15027,1,1,3,1,4,1,1,1,1,3,3,1,4,1,1,4,4,1,1,1,4,1,1,4,1,4,1,1,3,1,4,1,1,4,1,1,4,4,1,1,1,4,1
15028,4,4,1,3,4,3,1,2,2,4,4,4,4,1,3,2,4,4,2,4,4,3,1,3,4,4,4,3,3,3,2,4,3,2,3,4,4,3,4,3,3,4,2
15029,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,4,4,4,4,4,4,4,4,4,4,3,4,3,3,3,4,4,4,3,2
15030,4,2,1,1,4,4,4,4,4,2,4,4,4,4,2,2,4,4,2,4,3,4,2,2,4,3,4,3,4,4,2,4,4,4,4,3,2,2,4,4,4,4,1
15031,3,2,4,4,3,3,2,3,3,4,3,3,4,4,3,4,1,2,2,2,1,2,3,4,2,4,3,3,4,2,4,3,3,1,3,3,3,2,3,3,2,3,2
15032,2,3,1,2,2,2,1,2,2,1,2,2,1,2,1,1,1,1,1,1,1,1,1,1,2,2,2,1,2,3,1,2,3,1,2,2,1,1,2,2,1,2,2
15033,3,4,3,1,4,4,1,3,2,4,3,2,4,4,2,4,4,4,2,2,4,3,1,4,1,4,4,2,3,4,3,1,1,4,3,1,4,4,2,1,2,3,2
15034,4,1,4,1,3,4,3,4,3,4,4,3,4,4,1,4,4,1,1,2,2,4,1,3,1,4,4,1,3,2,3,4,4,4,4,2,4,4,1,2,2,2,3
15035,1,2,1,2,3,1,1,2,1,1,2,2,1,3,2,2,2,1,2,2,1,2,1,2,2,1,1,2,2,2,2,4,1,1,2,1,1,1,2,1,1,3,2
15036,2,1,1,2,2,2,2,2,2,1,2,1,1,3,1,2,1,2,2,2,1,2,2,1,3,1,2,2,2,2,2,2,2,1,3,2,1,1,2,2,2,1,2
15037,1,1,1,1,3,3,1,2,2,2,2,2,2,2,1,2,3,2,1,3,1,3,2,2,1,3,1,3,3,2,1,1,3,3,1,3,1,2,3,1,1,2,2
15038,1,3,2,1,2,2,1,2,1,3,2,2,2,2,1,3,3,2,1,2,3,3,2,3,1,2,2,2,1,2,3,2,2,3,2,1,3,2,2,1,4,3,2
15039,2,1,3,1,2,1,1,1,2,2,2,1,2,1,1,3,1,1,1,3,2,2,2,4,1,3,3,1,1,1,1,1,2,4,2,1,1,2,3,2,1,3,1
15040,2,1,2,1,1,3,1,2,1,1,2,1,2,1,1,1,1,2,1,1,1,2,1,1,1,2,3,1,2,1,2,2,2,1,2,1,1,1,2,1,1,2,1
15041,3,1,1,2,2,3,4,2,4,1,3,4,3,4,1,3,4,2,2,4,1,2,3,2,4,3,2,4,4,3,1,3,3,2,3,4,1,1,3,4,4,4,2
15042,3,1,1,1,4,3,1,2,4,4,4,1,4,3,1,3,4,3,1,3,4,3,1,2,1,3,4,2,4,2,1,3,2,4,2,1,4,4,4,3,1,4,1
15043,3,1,2,2,3,3,1,4,3,3,3,3,4,1,3,4,4,4,1,3,2,3,1,2,3,3,4,2,4,2,1,3,2,3,2,1,2,2,3,1,1,4,2
15044,3,4,2,1,3,2,3,3,4,2,3,3,3,3,3,2,2,4,1,1,2,3,2,2,2,3,3,1,3,2,2,3,2,3,3,1,2,2,3,2,2,3,2
15045,1,2,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,2,1,1,1,2,1,1,1,1,1
15046,3,2,3,1,3,4,3,4,4,3,3,3,4,2,2,3,4,3,3,3,4,4,2,3,3,4,4,3,4,3,3,2,3,3,2,3,3,4,2,3,3,2,2
15047,4,4,3,2,3,4,2,3,2,3,4,3,4,4,3,3,4,2,2,3,4,2,3,2,4,4,3,3,4,4,4,3,2,2,3,3,3,3,4,3,3,3,2
15048,1,2,3,1,3,2,2,2,1,4,3,4,4,1,3,4,4,1,1,1,4,2,1,4,1,2,3,2,2,1,3,1,3,4,3,1,4,4,3,3,1,3,1
15049,2,1,1,1,2,1,1,2,1,1,2,1,2,3,1,2,2,2,1,1,2,1,1,1,2,2,2,1,1,2,1,2,1,1,2,1,1,1,1,1,1,2,2
15050,4,1,2,3,2,4,2,3,4,3,4,2,3,3,1,2,4,4,2,2,3,4,1,3,3,3,3,4,4,2,2,4,3,4,3,4,3,4,3,3,4,2,2
15051,1,1,1,1,2,1,1,2,1,2,1,2,2,1,1,1,2,1,1,1,2,1,1,1,1,2,1,1,1,1,3,1,1,2,1,1,3,1,3,1,1,1,2
15052,4,2,4,2,4,2,2,4,4,4,4,3,4,4,1,4,4,2,2,3,4,4,1,4,2,4,4,3,3,3,4,4,4,4,3,3,4,4,4,2,3,4,1
15053,3,1,2,2,4,3,1,1,3,3,3,3,3,2,1,2,2,2,2,3,1,1,1,3,4,2,3,2,2,3,2,3,3,2,3,2,3,1,3,3,2,3,2
15054,3,1,3,4,4,2,3,4,2,4,4,3,4,2,4,4,4,3,2,4,4,3,2,3,3,4,2,2,4,3,4,2,2,4,2,2,4,4,3,4,3,4,2
15055,3,1,3,1,4,2,3,2,4,4,2,2,3,2,2,3,4,3,2,3,4,2,1,3,2,4,3,3,2,4,3,2,2,4,2,3,4,4,3,4,3,4,2
15056,4,1,3,1,3,4,1,2,3,3,3,3,3,4,1,2,2,4,1,2,2,2,1,1,1,4,4,1,4,2,2,4,3,3,3,1,2,3,4,2,1,3,2
15057,3,3,2,1,4,4,3,4,2,3,4,4,4,4,4,4,4,2,4,3,3,3,1,4,3,4,3,2,4,4,2,3,3,4,3,3,4,4,4,3,4,3,2
15058,4,4,4,1,4,2,1,4,4,4,4,4,4,4,1,4,4,4,2,2,4,1,2,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,4,2
15059,3,2,1,2,1,1,3,3,3,1,3,2,2,3,2,1,1,1,1,1,1,2,1,1,1,1,2,2,2,1,1,2,4,1,2,1,1,1,2,1,2,1,2
15060,3,2,2,2,4,2,1,4,2,3,3,2,4,1,1,3,3,2,2,4,4,3,1,2,2,4,2,3,2,3,4,2,4,4,2,2,2,3,2,2,2,4,2
15061,4,1,4,2,4,3,2,4,3,1,4,3,2,2,2,3,4,4,2,4,2,4,2,4,3,4,2,3,4,2,4,3,3,4,2,3,1,2,4,4,2,4,1
15062,1,3,3,2,2,1,2,2,1,2,2,2,3,1,2,2,3,2,3,1,2,3,1,2,3,2,2,2,2,1,3,2,3,2,2,1,2,3,3,4,2,3,1
15063,4,2,3,4,3,4,2,4,3,4,4,4,4,4,2,3,4,1,1,2,4,4,2,3,2,4,4,3,3,3,3,2,4,4,3,3,4,4,1,3,2,4,2
15064,3,2,3,2,3,4,2,2,3,2,4,2,3,3,3,2,2,3,3,1,2,2,1,3,1,2,3,2,4,3,2,2,2,2,2,1,2,1,3,4,2,3,2
15065,4,1,4,2,2,3,4,3,2,2,3,4,2,3,2,1,2,4,1,3,3,3,2,1,3,2,2,1,3,2,1,1,3,3,2,2,1,2,4,3,3,2,2
15066,1,2,2,2,2,2,2,2,2,2,2,2,1,3,2,1,2,2,3,2,2,3,1,2,1,2,2,2,1,3,2,1,3,2,1,2,1,2,3,3,2,2,2
15067,4,1,4,1,4,2,2,1,1,4,1,1,4,3,2,4,4,4,1,2,4,1,2,4,1,4,4,1,1,2,4,2,1,4,1,4,4,4,3,1,4,4,2
15068,3,2,2,3,2,2,3,3,3,2,3,3,3,3,2,2,2,2,3,3,1,2,2,2,3,2,3,3,3,3,2,2,2,1,4,2,2,1,4,3,3,3,2
15069,3,2,4,3,4,3,2,4,4,4,4,3,4,2,2,4,4,1,3,3,4,3,2,4,2,4,4,4,4,3,4,2,4,4,4,4,3,4,4,4,3,4,2
15070,4,2,2,3,4,4,2,3,4,2,4,3,2,4,4,3,4,4,4,3,2,1,2,2,1,2,4,3,3,3,2,3,3,4,2,2,2,3,3,3,2,4,3
15071,4,3,4,1,4,3,2,3,2,4,3,3,4,1,1,4,4,3,2,2,4,2,1,4,3,4,4,1,2,2,4,2,3,4,2,2,4,4,3,3,2,4,1
15072,3,4,4,2,3,2,3,4,4,3,4,4,4,4,3,4,3,2,3,3,2,3,3,4,3,4,4,4,2,3,4,4,4,4,4,4,4,1,4,2,3,3,2
15073,3,1,2,1,2,2,2,2,4,1,2,2,2,3,1,2,2,1,1,2,2,2,1,2,3,2,4,2,3,2,2,2,3,2,4,3,3,2,2,3,2,3,1
15074,2,4,3,2,3,4,1,3,4,3,3,2,4,2,1,3,4,3,1,3,4,2,4,3,2,4,2,1,3,4,3,2,3,4,2,3,3,4,2,4,1,2,2
15075,2,1,1,1,1,2,1,1,2,1,1,1,1,2,1,1,2,2,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,2,1,2,2
15076,4,1,2,1,1,4,1,4,2,4,4,1,4,2,3,4,1,2,1,2,1,1,1,4,1,3,4,2,4,1,2,4,1,1,1,1,1,1,3,3,2,4,2
15077,1,1,4,1,2,1,2,4,1,4,2,2,4,4,1,4,4,1,1,1,2,2,1,3,3,4,4,4,2,1,4,2,4,4,2,2,4,4,3,3,2,2,1
15078,3,1,4,1,4,2,1,3,1,4,3,1,2,3,1,4,1,1,2,1,1,3,1,4,1,2,3,1,4,1,4,3,1,1,2,1,2,1,3,1,1,4,1
15079,2,2,3,2,4,4,2,4,4,4,2,4,4,1,1,2,4,2,3,4,4,4,2,2,2,4,2,4,4,3,3,2,4,4,2,4,4,4,2,4,2,2,1
15080,2,4,1,2,1,2,1,2,2,2,1,1,1,2,1,2,1,1,2,1,1,1,2,2,3,1,1,1,2,2,1,3,1,1,2,1,1,1,1,1,1,3,1
15081,4,2,1,3,2,2,2,2,2,2,4,2,3,2,3,3,4,3,2,3,3,2,2,2,3,3,3,2,4,3,3,2,2,3,2,3,3,3,3,3,2,3,2
15082,2,2,1,1,2,3,1,2,3,2,2,2,3,3,1,2,3,3,1,2,2,3,2,2,1,3,2,3,3,3,2,2,2,2,2,3,2,2,2,3,3,3,2
15083,2,2,2,1,3,2,1,2,3,3,2,1,3,2,1,2,3,1,1,1,1,2,1,2,1,3,1,1,2,1,2,2,3,4,1,1,1,1,2,1,2,1,1
15084,4,3,2,2,1,2,4,3,4,2,3,2,3,4,3,2,3,1,3,2,1,2,3,1,2,4,2,4,4,4,2,4,3,3,3,3,3,1,3,4,2,1,1
15085,3,1,3,1,4,2,2,2,3,4,3,3,3,2,3,4,4,3,1,3,4,2,1,4,1,3,3,2,3,2,4,2,1,4,2,3,4,4,2,3,1,3,2
15086,2,2,2,1,4,4,1,4,3,4,2,2,3,2,2,4,4,1,2,3,2,3,1,3,2,2,3,2,4,3,3,3,3,4,4,1,3,4,2,4,1,4,1
15087,3,4,2,2,2,3,1,2,3,2,2,3,3,3,2,4,2,3,4,3,3,2,2,3,2,2,2,2,2,3,3,2,3,3,2,2,2,2,3,3,2,2,2
15088,2,2,4,2,4,4,4,3,2,3,4,2,2,4,1,4,2,3,3,2,2,3,2,4,3,2,4,1,3,3,4,2,3,2,1,3,2,2,4,3,4,3,2
15089,4,1,1,3,3,1,1,2,2,4,3,1,2,1,1,2,4,1,1,2,4,3,1,2,3,2,1,2,3,3,1,2,1,4,2,3,4,4,2,2,1,3,2
15090,1,1,1,1,1,1,1,1,1,3,1,1,1,3,2,2,1,3,1,1,1,1,2,1,1,1,1,2,1,2,2,1,1,1,1,2,1,1,1,1,1,1,2
15091,2,1,2,1,1,1,2,1,2,2,4,1,2,2,2,2,2,1,2,1,2,1,1,2,1,2,3,2,2,1,2,2,2,2,2,1,1,3,2,2,2,4,2
15092,1,1,3,1,4,3,1,4,3,4,2,2,3,1,1,3,4,2,1,3,3,1,2,2,1,3,2,3,2,2,3,1,3,3,1,1,3,3,3,2,1,3,1
15093,3,1,2,1,2,2,1,2,3,2,2,2,2,3,1,2,1,2,1,2,2,3,1,2,2,3,2,2,3,2,2,2,3,1,2,1,2,2,3,3,1,2,2
15094,4,1,1,1,1,4,1,2,2,2,4,1,2,3,1,1,1,4,3,3,1,2,1,2,2,3,4,1,4,1,2,2,3,2,4,2,3,1,3,3,2,1,2
15095,2,1,2,2,1,2,1,1,2,3,2,1,1,3,1,3,3,2,1,1,1,2,1,2,2,2,2,1,2,1,3,3,1,2,2,1,2,2,1,1,1,3,1
15096,4,1,2,1,2,2,1,3,4,2,4,3,2,4,1,2,2,4,4,1,2,4,1,4,1,2,4,1,4,2,2,4,2,2,4,1,4,4,4,3,2,4,2
15097,1,1,1,1,4,2,1,2,2,1,1,2,1,1,1,1,1,2,1,1,1,2,1,1,2,1,1,1,3,1,2,3,2,2,2,1,1,1,2,1,1,3,1
15098,2,1,2,1,2,2,1,1,2,3,2,2,4,1,1,2,3,1,1,1,3,2,1,2,2,3,1,1,2,1,3,2,2,4,2,1,1,2,2,1,1,2,2
15099,1,1,1,1,2,2,1,1,2,2,1,1,3,3,1,3,3,2,1,1,3,1,1,1,1,3,3,1,1,2,2,3,4,3,3,2,3,4,2,1,1,2,1
15100,2,2,2,2,1,3,2,3,3,2,4,2,2,3,2,2,1,3,1,3,1,3,1,2,1,2,3,3,4,1,2,2,3,1,2,2,2,1,2,4,1,2,2
15101,2,1,1,1,3,2,1,2,1,2,2,1,2,2,1,1,2,1,3,1,2,1,1,1,2,1,2,1,1,1,1,1,2,3,2,1,3,2,2,1,1,1,2
15102,3,4,1,1,3,2,1,1,3,3,2,2,1,2,2,2,2,3,1,2,3,3,1,2,1,4,2,2,2,3,2,2,1,3,2,2,2,2,1,3,1,4,1
15103,2,4,1,4,2,2,4,3,4,1,4,2,2,2,4,2,2,1,4,3,2,4,2,2,4,2,4,4,3,2,2,2,3,1,3,4,1,1,3,2,4,3,2
15104,2,2,2,2,3,2,2,2,3,1,2,3,4,3,1,2,3,4,2,3,2,2,1,2,2,3,2,2,2,3,2,2,2,3,3,3,2,3,2,3,2,2,2
15105,3,4,4,3,2,3,3,4,4,4,3,4,4,2,3,4,3,2,4,4,4,4,2,4,4,3,4,3,2,3,3,3,4,4,3,4,3,3,2,4,4,3,2
15106,2,1,1,1,1,2,1,2,2,1,3,2,2,2,1,1,1,2,1,1,1,1,1,1,1,2,2,1,1,2,1,1,2,1,1,2,2,1,2,1,1,2,2
15107,2,3,1,2,1,3,1,3,2,1,1,2,2,1,1,1,2,2,1,2,1,1,1,1,3,2,2,1,1,2,1,3,2,3,2,2,1,2,1,3,4,3,1
15108,4,3,3,2,3,4,3,3,4,3,4,4,4,4,3,4,4,3,3,4,4,3,3,4,4,3,4,3,3,4,4,3,3,4,3,4,3,4,3,4,3,4,2
15109,3,1,3,2,3,4,2,3,3,3,4,2,4,3,2,3,3,4,1,2,3,1,1,3,1,4,4,3,4,2,3,3,3,3,4,2,3,3,4,2,2,3,2
15110,3,3,3,1,4,4,2,2,3,4,3,2,4,4,1,3,3,3,1,2,2,3,3,3,1,4,2,1,4,3,4,3,2,3,4,2,4,4,3,1,1,4,2
15111,3,1,2,1,2,1,1,1,2,4,3,1,2,2,1,2,3,1,1,3,2,1,1,4,1,2,3,1,2,3,1,2,1,3,2,3,2,2,2,3,1,4,1
15112,3,3,4,2,2,2,2,2,4,4,3,3,3,2,2,3,4,4,1,3,4,2,1,3,2,4,4,2,2,3,4,2,2,4,3,3,3,4,3,2,1,3,2
15113,2,2,3,3,3,1,2,2,2,2,2,2,2,3,2,3,3,1,3,2,2,2,2,2,3,3,3,2,2,2,3,2,2,3,2,2,2,2,2,2,2,3,2
15114,3,2,2,2,4,2,2,3,3,2,3,2,4,2,2,4,2,2,2,2,2,2,1,3,3,4,3,2,4,2,3,3,2,2,2,2,2,2,3,3,2,3,2
15115,2,1,2,1,2,3,1,2,1,3,2,1,3,2,1,2,2,3,1,1,3,3,1,2,1,2,3,1,2,1,3,3,1,2,2,1,3,3,3,1,1,2,1
15116,2,4,1,1,2,4,3,3,3,3,3,3,2,4,2,2,2,3,2,3,2,3,4,3,3,1,2,2,3,2,1,3,3,2,2,3,2,2,2,2,4,4,2
15117,2,3,3,3,4,3,3,4,4,4,3,4,3,3,2,4,4,3,2,3,4,4,1,3,3,4,3,3,3,2,4,1,3,3,2,3,4,4,2,3,3,3,2
15118,4,3,2,2,3,4,1,4,2,2,4,4,4,4,1,4,4,3,1,1,4,4,2,3,3,2,4,4,4,4,4,4,2,4,4,2,2,4,2,4,1,4,2
15119,4,1,3,1,3,3,2,2,4,2,4,2,3,4,1,2,3,4,3,3,3,2,1,2,1,3,4,1,3,1,2,2,2,2,3,3,2,2,3,1,2,2,2
15120,3,1,3,1,2,3,3,1,2,2,3,1,4,2,4,2,3,1,1,2,1,2,1,4,3,2,2,1,2,2,2,2,4,3,3,4,3,2,2,3,1,3,2
15121,1,2,2,2,4,1,2,4,3,3,1,3,2,2,2,3,1,2,1,1,2,3,2,3,2,1,1,1,1,3,3,2,3,1,1,1,1,2,1,2,2,4,3
15122,3,3,1,2,2,3,3,2,4,1,3,3,2,3,2,2,1,2,1,4,2,3,1,2,4,1,3,3,3,3,1,3,3,1,4,4,2,1,3,4,1,1,2
15123,2,3,1,2,3,4,2,2,3,2,2,2,4,4,3,2,2,2,2,2,2,2,1,2,1,3,2,2,1,1,1,2,1,4,2,2,1,1,2,3,1,3,2
15124,4,4,4,2,4,3,2,4,3,4,3,4,4,3,3,4,4,3,2,4,4,4,3,4,2,4,4,3,4,4,4,4,4,4,3,4,4,4,4,3,2,4,2
15125,2,1,1,2,2,1,1,2,2,3,2,2,1,1,1,4,2,1,2,1,3,2,1,3,3,2,3,1,2,2,3,2,2,3,1,1,2,2,2,1,1,1,2
15126,3,2,4,3,4,3,4,4,4,3,3,4,4,2,4,4,4,3,4,4,4,3,3,4,4,4,3,3,4,3,4,4,3,4,3,3,4,3,4,4,3,4,2
15127,1,4,4,1,2,4,2,4,4,4,2,4,4,2,4,4,4,3,4,4,2,4,1,4,4,4,3,3,4,3,4,2,4,4,2,2,4,1,4,2,4,3,1
15128,2,2,1,2,2,2,2,1,2,2,2,1,1,2,2,2,2,2,1,2,1,2,1,2,2,2,2,2,2,1,1,2,2,2,1,1,1,2,2,2,2,2,2
15129,2,2,3,2,3,2,2,3,3,3,3,3,3,2,3,4,3,3,2,3,3,3,2,3,2,4,3,1,2,2,4,2,3,3,3,1,4,3,2,3,2,4,2
15130,2,1,2,1,3,1,2,4,4,2,2,3,2,2,2,3,4,1,1,4,2,4,1,3,2,2,2,2,3,1,3,2,1,4,2,1,2,2,1,2,2,3,2
15131,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,3,4,4,3,4,4,4,2,4,4,2
15132,2,1,1,2,2,1,1,1,2,2,1,2,3,3,2,2,1,1,1,1,2,2,1,3,2,2,1,2,1,2,3,1,2,2,1,1,2,2,1,1,1,3,2
15133,1,1,1,1,2,1,1,1,1,2,1,1,2,1,1,2,1,1,1,1,2,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,2,2,1,1,1,2,2
15134,2,1,1,1,1,1,1,1,1,1,3,1,2,2,1,1,1,1,1,1,2,1,1,1,2,2,1,1,1,1,1,1,2,1,2,1,1,2,3,1,1,2,2
15135,2,3,2,1,2,3,1,4,2,1,1,4,3,2,1,1,1,3,1,1,1,3,1,2,1,3,3,1,3,1,2,2,3,1,1,2,2,1,3,1,1,2,1
15136,1,1,1,1,4,2,1,1,3,1,2,1,3,2,3,2,2,1,1,4,1,1,1,2,1,3,1,1,2,1,1,1,1,1,1,1,1,1,1,4,1,4,2
15137,2,3,3,1,3,1,1,2,2,4,3,1,3,2,1,4,3,3,3,2,1,1,1,3,3,4,4,1,2,2,4,4,1,2,2,1,4,1,1,4,1,4,1
15138,1,3,1,3,2,1,2,3,4,1,3,2,2,3,1,1,2,3,4,3,1,2,1,3,1,2,2,3,1,3,2,4,3,2,2,3,3,2,2,4,3,3,2
15139,3,4,4,4,4,2,4,3,4,4,4,4,4,2,3,4,4,3,1,4,4,4,2,3,4,4,4,4,3,4,3,2,4,4,4,4,4,4,4,4,4,3,2
15140,4,3,3,2,4,3,3,3,3,3,4,3,3,2,2,3,3,4,2,3,3,3,2,3,3,4,3,4,4,4,3,3,4,3,3,4,2,2,3,4,3,4,2
15141,1,1,1,1,4,2,2,3,2,1,2,1,3,4,1,1,2,2,1,2,1,2,1,1,1,1,2,1,2,1,1,3,2,1,2,1,1,1,2,2,1,4,2
15142,4,3,2,2,4,4,3,4,4,3,4,4,4,4,3,4,3,3,2,2,4,3,4,3,3,3,4,4,4,4,2,4,4,3,3,2,3,4,4,4,3,2,2
15143,3,1,3,1,4,2,2,3,2,3,3,4,4,3,3,3,3,4,2,1,4,3,1,3,2,3,4,3,4,2,3,3,3,4,3,2,3,3,4,3,2,4,1
15144,4,2,3,2,3,4,1,3,4,4,4,4,4,4,2,2,4,3,3,4,3,3,2,3,2,4,4,4,4,4,3,3,4,4,3,4,2,3,3,4,1,4,2
15145,3,2,3,2,2,2,1,3,2,3,4,2,4,2,1,2,2,1,1,3,2,2,1,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,3,1,3,2
15146,1,2,3,2,3,1,2,2,2,4,1,2,2,3,2,3,1,1,2,1,4,2,1,4,2,1,2,2,3,1,4,1,2,1,3,1,3,3,2,1,2,2,2
15147,3,4,2,2,2,3,2,1,1,2,2,3,4,2,1,2,4,2,4,2,1,2,2,2,2,2,3,1,3,2,2,2,2,2,2,2,2,1,2,2,2,1,2
15148,1,4,1,1,2,2,1,2,1,2,2,1,3,2,1,1,3,2,1,2,2,3,1,3,1,2,3,3,4,1,2,1,1,2,2,2,2,1,3,3,2,1,2
15149,3,4,4,4,4,4,3,4,4,3,4,4,4,3,4,4,4,3,4,2,3,3,2,4,3,3,4,3,4,4,4,4,4,4,4,2,4,4,3,4,3,4,1
